barcode,category,description,name,pages,price,publishing_affiliate,seller,size,subcategory,url
893606669817,Thể Loại Khác,,Trò Chơi Tâm Lý,348,"209,000",1980 Books,Phương Nam Online,20.5 x 13 x 1.8,Tâm Lý/Giáo Dục,https://nhasachphuongnam.com/tro-choi-tam-ly-vi.html
893606669988,Thiếu Nhi,Cuốn sách nằm trong bộ sách ,Tập Tô Sáng Tạo Cùng Wolfoo - Tập 3,24,"49,000",1980 Edu,Phương Nam Online,24 x 16 x 0.5,Tô Màu/Luyện Chữ/Cắt Dán,https://nhasachphuongnam.com/tap-to-sang-tao-cung-wolfoo-tap-3.html
893606669987,Thiếu Nhi,Cuốn sách nằm trong bộ sách ,Tập Tô Sáng Tạo Cùng Wolfoo - Tập 2,24,"49,000",1980 Edu,Phương Nam Online,24 x 16 x 0.5,Tô Màu/Luyện Chữ/Cắt Dán,https://nhasachphuongnam.com/tap-to-sang-tao-cung-wolfoo-tap-2.html
893606669990,Thiếu Nhi,Cuốn sách nằm trong bộ sách ,Tập Tô Sáng Tạo Cùng Wolfoo - Tập 5,24,"49,000",1980 Edu,Phương Nam Online,24 x 16 x 0.5,Tô Màu/Luyện Chữ/Cắt Dán,https://nhasachphuongnam.com/tap-to-sang-tao-cung-wolfoo-tap-5.html
893606669989,Thiếu Nhi,Cuốn sách nằm trong bộ sách ,Tập Tô Sáng Tạo Cùng Wolfoo - Tập 4,24,"49,000",1980 Edu,Phương Nam Online,24 x 16 x 0.5,Tô Màu/Luyện Chữ/Cắt Dán,https://nhasachphuongnam.com/tap-to-sang-tao-cung-wolfoo-tap-4.html
893606669986,Thiếu Nhi,Cuốn sách nằm trong bộ sách ,Tập Tô Sáng Tạo Cùng Wolfoo - Tập 1,24,"49,000",1980 Edu,Phương Nam Online,24 x 16 x 0.5,Tô Màu/Luyện Chữ/Cắt Dán,https://nhasachphuongnam.com/tap-to-sang-tao-cung-wolfoo-tap-1.html
893532502203,Văn Học," là một quyển tiểu thuyết viết về chủ đề “hành trình hồi hướng của các linh hồn”, tác giả Soul xây dựng cốt truyện xoay quanh nhân vật chính là chàng trai Bảo Nguyên - một “linh hồn không may rơi vào vòng xoáy năng lượng tối” khi đột ngột qua đời do tai nạn, ở đó, Nguyên phải nỗ lực tìm đường đến “Cõi tuyệt diệu” - cảnh giới tối cao nhất trong lãnh địa phát triển tâm thức.",Cảm Ơn Ta Lại Nhìn Thấy Nhau,272,"119,000",Glow Books,Phương Nam Online,20.5 x 14.5 x 1.5,Văn Học Đương Đại,https://nhasachphuongnam.com/cam-on-ta-lai-nhin-thay-nhau.html
893606669920,Kỹ Năng/Sống Đẹp,"Là một nhân viên mới, chắc hẳn bạn sẽ gặp phải nhiều khó khăn, áp lực trong những tuần đầu làm việc. Bạn luôn muốn nhanh chóng tạo ấn tượng tốt, hòa đồng với “người cũ” và làm quen với công việc mới, nhưng lại chưa biết nên làm thế nào hay bắt đầu từ đâu. Áp dụng “những lời khuyên” được truyền lại từ những người nhiều kinh nghiệm có vẻ là một cách hiệu quả. Tuy nhiên, có những lời khuyên tưởng như rất hợp lý nhưng lại không thực sự giúp ích cho bạn ở môi trường doanh nghiệp, trái lại còn đẩy bạn vào thế khó xử, thậm chí khiến cấp trên mất đi cảm tình với bạn.",Kỷ Luật Và Động Lực - Công Thức Thành Công,284,"169,000",1980 Books,Phương Nam Online,19 x 13 x 1.5,Kỹ Năng Sống,https://nhasachphuongnam.com/ky-luat-va-dong-luc-cong-thuc-thanh-cong.html
893532502224,Văn Học,,"Không Sao Mà, Có Tớ Ở Đây",208,"84,000",Deepbooks,Phương Nam Online,17 x 11.5 x 1,Truyện Ngắn/Tản Văn,https://nhasachphuongnam.com/khong-sao-ma-co-to-o-day.html
893532502246,Tuổi Mới Lớn,Hẳn bạn đã quen với hình ảnh chú sư tử cá Merlion oai nghiêm của đảo quốc sư tử Singapore? Vậy bạn có biết con sư tử đầu Mốc Mốc-lion?,Mèo Mốc - Hành Trình Tới Singapore (Tái bản năm 2024),182,"115,000",Skycomics,Phương Nam Online,19 x 13 x 1,Truyện Tranh,https://nhasachphuongnam.com/meo-moc-hanh-trinh-toi-singapore-tai-ban-nam-2024.html
